plant_id,scientific_name,common_name,family,vernacular_names,medicinal_system,distribution_region,medicinal_use,parts_used,habit,nmpb_med_system_tag,nmpb_api_sanskrit_names,bsi_herbarium_uses_url,source_reference,plant_match_confidence,is_synthetic,source_bsi_s_no,source_nmpb_s_no
PLANT-1178,Jasminum rottlerianum Wall. ex A.DC.,Vanamalliga (Sans.),OLEACEAE,Vanamalliga (Sans.),,,,,,,,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009578&column=szBarcode,BSI,SOURCE_ONLY,False,978,
PLANT-1179,Jasminum sambac (L.) Aiton,"Banmallika, Chamba",OLEACEAE,"Banmallika, Chamba; Mallika,; Mogra",Ayurveda,,,Flower,Climber,AFSTU,,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009585&column=szBarcode,BSI+NMPB,HIGH,False,979,520
PLANT-1180,Jasminum scandens Vahl,Hare lahara (Nepal),OLEACEAE,Hare lahara (Nepal),,,,,,,,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009580&column=szBarcode,BSI,SOURCE_ONLY,False,980,
PLANT-1181,Jateorhiza palmata Miers,Kalamb-ki-jar,MENISPERMACEAE,Kalamb-ki-jar,,,,,,,,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000006536&column=szBarcode,BSI,SOURCE_ONLY,False,981,
PLANT-1182,Jatropha curcas L.,"Bagbherenda, Jangli-arandi",EUPHORBIACEAE,"Bagbherenda, Jangli-arandi; Nepalam seed",Ayurveda,,,"Bark (Stem),; Fruit (Seed),; Whole Plant",Shrub,AFHSU,,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000008823&column=szBarcode,BSI+NMPB,HIGH,False,982,521
PLANT-1183,Jatropha glandulifera Roxb.,"Janglie-randi, Undarbibi",EUPHORBIACEAE,"Janglie-randi, Undarbibi",,,,,,,,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000008830&column=szBarcode,BSI,SOURCE_ONLY,False,983,
PLANT-1184,Jatropha gossypifolia Roxb.,"Bherenda, Verenda",EUPHORBIACEAE,"Bherenda, Verenda",,,,,,,,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000008825&column=szBarcode,BSI,SOURCE_ONLY,False,984,
PLANT-1185,Jatropha multifida L.,Bhadradanti (Sans.),EUPHORBIACEAE,Bhadradanti (Sans.),,,,,,,,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000008827&column=szBarcode,BSI,SOURCE_ONLY,False,985,
PLANT-1186,Jatropha nana Dalzell & A.Gibson,Kirkundi (Mar.),EUPHORBIACEAE,Kirkundi (Mar.),,,,,,,,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000008829&column=szBarcode,BSI,SOURCE_ONLY,False,986,
PLANT-1187,Juglans regia L.,"Akhrot, Akrut (Trade)",JUGLANDACEAE,"Akhrot, Akrut (Trade); Akhrot; Aksoda",Ayurveda,,,"Bark (Stem),; Fruit (Seed)",Tree,AFHSTU,Aksoda,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013381&column=szBarcode,BSI+NMPB,HIGH,False,987,522
